p,2p+1
2,5
3,7
5,11
11,23
23,47
29,59
41,83
53,107
83,167
89,179
113,227
131,263
173,347
179,359
191,383
233,467
239,479
251,503
281,563
293,587
359,719
419,839
431,863
443,887
491,983
509,1019
593,1187
641,1283
653,1307
659,1319
683,1367
719,1439
743,1487
761,1523
809,1619
911,1823
953,1907
1013,2027
1019,2039
1031,2063
1049,2099
1103,2207
1223,2447
1229,2459
1289,2579
1409,2819
1439,2879
1451,2903
1481,2963
1499,2999
1511,3023
1559,3119
1583,3167
1601,3203
1733,3467
1811,3623
1889,3779
1901,3803
1931,3863
1973,3947
2003,4007
2039,4079
2063,4127
2069,4139
2129,4259
2141,4283
2273,4547
2339,4679
2351,4703
2393,4787
2399,4799
2459,4919
2543,5087
2549,5099
2693,5387
2699,5399
2741,5483
2753,5507
2819,5639
2903,5807
2939,5879
2963,5927
2969,5939
3023,6047
3299,6599
3329,6659
3359,6719
3389,6779
3413,6827
3449,6899
3491,6983
3539,7079
3593,7187
3623,7247
3761,7523
3779,7559
3803,7607
3821,7643
3851,7703
3863,7727
3911,7823
4019,8039
4073,8147
4211,8423
4271,8543
4349,8699
4373,8747
4391,8783
4409,8819
4481,8963
4733,9467
4793,9587
4871,9743
4919,9839
4943,9887
5003,10007
5039,10079
5051,10103
5081,10163
5171,10343
5231,10463
5279,10559
5303,10607
5333,10667
5399,10799
5441,10883
5501,11003
5639,11279
5711,11423
5741,11483
5849,11699
5903,11807
6053,12107
6101,12203
6113,12227
6131,12263
6173,12347
6263,12527
6269,12539
6323,12647
6329,12659
6449,12899
6491,12983
6521,13043
6551,13103
6563,13127
6581,13163
6761,13523
6899,13799
6983,13967
7043,14087
7079,14159
7103,14207
7121,14243
7151,14303
7193,14387
7211,14423
7349,14699
7433,14867
7541,15083
7643,15287
7649,15299
7691,15383
7823,15647
7841,15683
7883,15767
7901,15803
8069,16139
8093,16187
8111,16223
8243,16487
8273,16547
8513,17027
8663,17327
8693,17387
8741,17483
8951,17903
8969,17939
9029,18059
9059,18119
9221,18443
9293,18587
9371,18743
9419,18839
9473,18947
9479,18959
9539,19079
9629,19259
9689,19379
9791,19583
10061,20123
10091,20183
10163,20327
10253,20507
10271,20543
10313,20627
10331,20663
10529,21059
10589,21179
10613,21227
10691,21383
10709,21419
10733,21467
10781,21563
10799,21599
10883,21767
11171,22343
11321,22643
11369,22739
11393,22787
11471,22943
11519,23039
11549,23099
11579,23159
11699,23399
11783,23567
11801,23603
11813,23627
11831,23663
11909,23819
11939,23879
12011,24023
12041,24083
12101,24203
12119,24239
12203,24407
12263,24527
12329,24659
12653,25307
12671,25343
12791,25583
12821,25643
12899,25799
12923,25847
12959,25919
13001,26003
13049,26099
13229,26459
13313,26627
13451,26903
13463,26927
13553,27107
13619,27239
13649,27299
13763,27527
13883,27767
13901,27803
13913,27827
14009,28019
14081,28163
14153,28307
14159,28319
14249,28499
14303,28607
14321,28643
14489,28979
14561,29123
14621,29243
14669,29339
14699,29399
14741,29483
14783,29567
14831,29663
14879,29759
14939,29879
15101,30203
15161,30323
15173,30347
15233,30467
15269,30539
15401,30803
15569,31139
15629,31259
15773,31547
15791,31583
15803,31607
15923,31847
16001,32003
16091,32183
16253,32507
16301,32603
16421,32843
16493,32987
16553,33107
16673,33347
16811,33623
16823,33647
16883,33767
16931,33863
17159,34319
17183,34367
17291,34583
17333,34667
17351,34703
17579,35159
17669,35339
17681,35363
17939,35879
17981,35963
18041,36083
18131,36263
18149,36299
18191,36383
18233,36467
18341,36683
18443,36887
18461,36923
18731,37463
18773,37547
18803,37607
18899,37799
19163,38327
19301,38603
19319,38639
19373,38747
19391,38783
19433,38867
19553,39107
19559,39119
19661,39323
19709,39419
19751,39503
19889,39779
19913,39827
19919,39839
19991,39983
20063,40127
20249,40499
20369,40739
20393,40787
20411,40823
20441,40883
20693,41387
20753,41507
20759,41519
20771,41543
20789,41579
20879,41759
20921,41843
20939,41879
20963,41927
21011,42023
21089,42179
21149,42299
21179,42359
21221,42443
21341,42683
21383,42767
21419,42839
21611,43223
21701,43403
21713,43427
21803,43607
21893,43787
22013,44027
22079,44159
22133,44267
22259,44519
22271,44543
22343,44687
22349,44699
22409,44819
22433,44867
22469,44939
22481,44963
22541,45083
22751,45503
22853,45707
22943,45887
23099,46199
23279,46559
23321,46643
23339,46679
23459,46919
23561,47123
23603,47207
23669,47339
23753,47507
23819,47639
23909,47819
23981,47963
24203,48407
24239,48479
24281,48563
24473,48947
24509,49019
24551,49103
24611,49223
24683,49367
24749,49499
24971,49943
25073,50147
25229,50459
25523,51047
25601,51203
25643,51287
25673,51347
25703,51407
25799,51599
25841,51683
25913,51827
25919,51839
26111,52223
26189,52379
26459,52919
26501,53003
26573,53147
26633,53267
26849,53699
26879,53759
26891,53783
26993,53987
27143,54287
27281,54563
27479,54959
27539,55079
27551,55103
27581,55163
27743,55487
27773,55547
27809,55619
27893,55787
27983,55967
28001,56003
28019,56039
28403,56807
28499,56999
28559,57119
28571,57143
28643,57287
28751,57503
28793,57587
28859,57719
28901,57803
28949,57899
28961,57923
29021,58043
29033,58067
29201,58403
29339,58679
29363,58727
29453,58907
29483,58967
29531,59063
29723,59447
29873,59747
30269,60539
30323,60647
30389,60779
30449,60899
30671,61343
30689,61379
30773,61547
30851,61703
30983,61967
31019,62039
31151,62303
31253,62507
31319,62639
31469,62939
31649,63299
31721,63443
31793,63587
31799,63599
31859,63719
32003,64007
32009,64019
32141,64283
32159,64319
32381,64763
32531,65063
32561,65123
32573,65147
32633,65267
32771,65543
32789,65579
32843,65687
32933,65867
33023,66047
33053,66107
33119,66239
33179,66359
33191,66383
33461,66923
33479,66959
33521,67043
33569,67139
33623,67247
33713,67427
33749,67499
33773,67547
33809,67619
33941,67883
34253,68507
34283,68567
34319,68639
34439,68879
34631,69263
34883,69767
34913,69827
34949,69899
35069,70139
35081,70163
35099,70199
35111,70223
35291,70583
35573,71147
35831,71663
35933,71867
35993,71987
35999,71999
36083,72167
36191,72383
36251,72503
36353,72707
36383,72767
36479,72959
36563,73127
36629,73259
36761,73523
36791,73583
36821,73643
36923,73847
36929,73859
37013,74027
37049,74099
37139,74279
37181,74363
37253,74507
37379,74759
37619,75239
37853,75707
37871,75743
37991,75983
38039,76079
38183,76367
38189,76379
38201,76403
38231,76463
38303,76607
38333,76667
38453,76907
38459,76919
38501,77003
38639,77279
38669,77339
38723,77447
38861,77723
38873,77747
38891,77783
38933,77867
39089,78179
39233,78467
39239,78479
39419,78839
39443,78887
39521,79043
39551,79103
39569,79139
39659,79319
39779,79559
39953,79907
39971,79943
39983,79967
39989,79979
40193,80387
40283,80567
40343,80687
40559,81119
40763,81527
40823,81647
40853,81707
40949,81899
41081,82163
41231,82463
41243,82487
41381,82763
41399,82799
41603,83207
41609,83219
41621,83243
41669,83339
41729,83459
41969,83939
42023,84047
42071,84143
42089,84179
42131,84263
42221,84443
42359,84719
42473,84947
42611,85223
42719,85439
42743,85487
42821,85643
42923,85847
43013,86027
43313,86627
43391,86783
43541,87083
43649,87299
43661,87323
43691,87383
43721,87443
43793,87587
43943,87887
44111,88223
44129,88259
44189,88379
44249,88499
44273,88547
44501,89003
44543,89087
44651,89303
44699,89399
44729,89459
44879,89759
44909,89819
45053,90107
45119,90239
45131,90263
45179,90359
45263,90527
45329,90659
45569,91139
45599,91199
45641,91283
45971,91943
46181,92363
46199,92399
46229,92459
46349,92699
46523,93047
46589,93179
46619,93239
46643,93287
46691,93383
46703,93407
46751,93503
47189,94379
47279,94559
47363,94727
47501,95003
47513,95027
47543,95087
47609,95219
47639,95279
47741,95483
48029,96059
48131,96263
48221,96443
48239,96479
48413,96827
48479,96959
48563,97127
48593,97187
48731,97463
48761,97523
49103,98207
49193,98387
49253,98507
49331,98663
49433,98867
49463,98927
49481,98963
49499,98999
49559,99119
49811,99623
49853,99707
49919,99839
50021,100043
50051,100103
50261,100523
50273,100547
50411,100823
50423,100847
50513,101027
50591,101183
50741,101483
50873,101747
50969,101939
50993,101987
51203,102407
51503,103007
51521,103043
51539,103079
51659,103319
51893,103787
52103,104207
52121,104243
52163,104327
52289,104579
52361,104723
52379,104759
52511,105023
52553,105107
52571,105143
52583,105167
52631,105263
52733,105467
52883,105767
53051,106103
53093,106187
53309,106619
53411,106823
53453,106907
53549,107099
53591,107183
53639,107279
53849,107699
53951,107903
54011,108023
54101,108203
54251,108503
54293,108587
54401,108803
54413,108827
54443,108887
54773,109547
54941,109883
54959,109919
55229,110459
55439,110879
55469,110939
55631,111263
55661,111323
55673,111347
55721,111443
55733,111467
55799,111599
55829,111659
55889,111779
55931,111863
56009,112019
56081,112163
56099,112199
56123,112247
56393,112787
56489,112979
56519,113039
56531,113063
56663,113327
56681,113363
56783,113567
56891,113783
56909,113819
56921,113843
56951,113903
57041,114083
57149,114299
57203,114407
57329,114659
57413,114827
57773,115547
57839,115679
57881,115763
58013,116027
58049,116099
58193,116387
58211,116423
58451,116903
58511,117023
58601,117203
58889,117779
58979,117959
59021,118043
59063,118127
59123,118247
59369,118739
59393,118787
59399,118799
59453,118907
59513,119027
59621,119243
59723,119447
59879,119759
59981,119963
60083,120167
60149,120299
60251,120503
60293,120587
60383,120767
60449,120899
60509,121019
60689,121379
60719,121439
60761,121523
60773,121547
60779,121559
61331,122663
61409,122819
61469,122939
61703,123407
61751,123503
61961,123923
61991,123983
62099,124199
62171,124343
62213,124427
62351,124703
62423,124847
62459,124919
62501,125003
62591,125183
62603,125207
62753,125507
62819,125639
62981,125963
63113,126227
63179,126359
63419,126839
63671,127343
63743,127487
63803,127607
63839,127679
63863,127727
63929,127859
64301,128603
64373,128747
64439,128879
64451,128903
64709,129419
64763,129527
64793,129587
64853,129707
64901,129803
65063,130127
65099,130199
65111,130223
65129,130259
65171,130343
65183,130367
65309,130619
65393,130787
65633,131267
65651,131303
65843,131687
65963,131927
66029,132059
66173,132347
66191,132383
66431,132863
66593,133187
66701,133403
66749,133499
66791,133583
66959,133919
67043,134087
67103,134207
67121,134243
67169,134339
67181,134363
67349,134699
67433,134867
67499,134999
67559,135119
67733,135467
67943,135887
68111,136223
68171,136343
68261,136523
68279,136559
68489,136979
68543,137087
68639,137279
68669,137339
68699,137399
68819,137639
68963,137927
69029,138059
69119,138239
69203,138407
69341,138683
69431,138863
69539,139079
69593,139187
69809,139619
69941,139883
70061,140123
70079,140159
70181,140363
70313,140627
70379,140759
70589,141179
70769,141539
70793,141587
70853,141707
70901,141803
70979,141959
71399,142799
71453,142907
71693,143387
71741,143483
71843,143687
71849,143699
71999,143999
72101,144203
72161,144323
72269,144539
72503,145007
72911,145823
73259,146519
73421,146843
73523,147047
73553,147107
73589,147179
73613,147227
73673,147347
73709,147419
73751,147503
73823,147647
74099,148199
74201,148403
74219,148439
74363,148727
74381,148763
74699,149399
74729,149459
74759,149519
74771,149543
74933,149867
75041,150083
75149,150299
75161,150323
75329,150659
75353,150707
75389,150779
75479,150959
75503,151007
75689,151379
75821,151643
75833,151667
75941,151883
75983,151967
76001,152003
76031,152063
76091,152183
76259,152519
76283,152567
76421,152843
76679,153359
76781,153563
76871,153743
76943,153887
77243,154487
77261,154523
77471,154943
77513,155027
77543,155087
77699,155399
77711,155423
77813,155627
77849,155699
78059,156119
78173,156347
78233,156467
78311,156623
78341,156683
78509,157019
78623,157247
78653,157307
78713,157427
78779,157559
78839,157679
79151,158303
79181,158363
79259,158519
79283,158567
79349,158699
79379,158759
79433,158867
79559,159119
79589,159179
79613,159227
79769,159539
79811,159623
79841,159683
79889,159779
80039,160079
80309,160619
80369,160739
80651,161303
80669,161339
80681,161363
80819,161639
81071,162143
81131,162263
81281,162563
81509,163019
81563,163127
81611,163223
81629,163259
81701,163403
81839,163679
81929,163859
82073,164147
82139,164279
82193,164387
82223,164447
82493,164987
82499,164999
82529,165059
82601,165203
82721,165443
82763,165527
82793,165587
82889,165779
83243,166487
83339,166679
83399,166799
83423,166847
83459,166919
83579,167159
83813,167627
83873,167747
83939,167879
84011,168023
84131,168263
84263,168527
84299,168599
84401,168803
84431,168863
84443,168887
84449,168899
84503,169007
84509,169019
84533,169067
84629,169259
84653,169307
84659,169319
84713,169427
84761,169523
85049,170099
85061,170123
85103,170207
85121,170243
85133,170267
85223,170447
85313,170627
85523,171047
85601,171203
85691,171383
85733,171467
85829,171659
85853,171707
85931,171863
86111,172223
86171,172343
86291,172583
86441,172883
86771,173543
86843,173687
87071,174143
87149,174299
87221,174443
87299,174599
87383,174767
87539,175079
87701,175403
87959,175919
88079,176159
88463,176927
88661,177323
88811,177623
88919,177839
89051,178103
89123,178247
89153,178307
89399,178799
89759,179519
89909,179819
90011,180023
90089,180179
90173,180347
90281,180563
90599,181199
90641,181283
90749,181499
90803,181607
90833,181667
90971,181943
91079,182159
91121,182243
91139,182279
91193,182387
91373,182747
91433,182867
91463,182927
91499,182999
91529,183059
91583,183167
91631,183263
91691,183383
91841,183683
92003,184007
92243,184487
92363,184727
92681,185363
92849,185699
92861,185723
92951,185903
92993,185987
93053,186107
93059,186119
93113,186227
93239,186479
93323,186647
93371,186743
93479,186959
93563,187127
93581,187163
93683,187367
93893,187787
93911,187823
93941,187883
94079,188159
94151,188303
94229,188459
94343,188687
94421,188843
94463,188927
95261,190523
95393,190787
95549,191099
95561,191123
95723,191447
95789,191579
95813,191627
95873,191747
95891,191783
96269,192539
96293,192587
96443,192887
96461,192923
96581,193163
96731,193463
96779,193559
96851,193703
96989,193979
97001,194003
97241,194483
97511,195023
97523,195047
97829,195659
97871,195743
97931,195863
97943,195887
98123,196247
98321,196643
98369,196739
98453,196907
98459,196919
98561,197123
98573,197147
98621,197243
98639,197279
98669,197339
98711,197423
98849,197699
98963,197927
98981,197963
99023,198047
99041,198083
99089,198179
99173,198347
99251,198503
99551,199103
99623,199247
99689,199379
99761,199523
99839,199679
